Source,Target,weight,weight_inv
addam-marbrand,brynden-tully,3,0.3333333333333333
addam-marbrand,cersei-lannister,3,0.3333333333333333
addam-marbrand,gyles-rosby,3,0.3333333333333333
addam-marbrand,jaime-lannister,14,0.07142857142857142
addam-marbrand,jalabhar-xho,3,0.3333333333333333
addam-marbrand,joffrey-baratheon,3,0.3333333333333333
addam-marbrand,kevan-lannister,3,0.3333333333333333
addam-marbrand,lyle-crakehall,4,0.25
addam-marbrand,oberyn-martell,3,0.3333333333333333
addam-marbrand,tyrion-lannister,7,0.14285714285714285
addam-marbrand,tywin-lannister,6,0.16666666666666666
addam-marbrand,varys,4,0.25
aegon-frey-(son-of-stevron),catelyn-stark,4,0.25
aegon-frey-(son-of-stevron),robb-stark,5,0.2
aegon-frey-(son-of-stevron),stevron-frey,3,0.3333333333333333
aegon-frey-(son-of-stevron),walder-frey,6,0.16666666666666666
aegon-i-targaryen,daenerys-targaryen,13,0.07692307692307693
aegon-i-targaryen,eddard-stark,4,0.25
aegon-i-targaryen,harren-hoare,4,0.25
aegon-i-targaryen,nan,3,0.3333333333333333
aegon-i-targaryen,rhaenys-targaryen,4,0.25
aegon-i-targaryen,stannis-baratheon,4,0.25
aegon-i-targaryen,torrhen-stark,3,0.3333333333333333
aegon-i-targaryen,tyrion-lannister,3,0.3333333333333333
aegon-i-targaryen,visenya-targaryen,3,0.3333333333333333
aegon-targaryen-(son-of-rhaegar),daenerys-targaryen,11,0.09090909090909091
aegon-targaryen-(son-of-rhaegar),elia-martell,7,0.14285714285714285
aegon-targaryen-(son-of-rhaegar),franklyn-flowers,3,0.3333333333333333
aegon-targaryen-(son-of-rhaegar),haldon,14,0.07142857142857142
aegon-targaryen-(son-of-rhaegar),harry-strickland,9,0.1111111111111111
aegon-targaryen-(son-of-rhaegar),jon-connington,16,0.0625
aegon-targaryen-(son-of-rhaegar),lemore,10,0.1
aegon-targaryen-(son-of-rhaegar),rhaegar-targaryen,12,0.08333333333333333
aegon-targaryen-(son-of-rhaegar),rhaenys-targaryen-(daughter-of-rhaegar),4,0.25
aegon-targaryen-(son-of-rhaegar),rolly-duckfield,11,0.09090909090909091
aegon-targaryen-(son-of-rhaegar),tyrion-lannister,23,0.043478260869565216
aegon-targaryen-(son-of-rhaegar),tywin-lannister,3,0.3333333333333333
aegon-targaryen-(son-of-rhaegar),viserys-targaryen,3,0.3333333333333333
aegon-targaryen-(son-of-rhaegar),yandry,6,0.16666666666666666
aegon-targaryen-(son-of-rhaegar),ysilla,4,0.25
aegon-v-targaryen,aemon-targaryen-(maester-aemon),6,0.16666666666666666
aemon-targaryen-(dragonknight),jaime-lannister,3,0.3333333333333333
aemon-targaryen-(maester-aemon),alleras,4,0.25
aemon-targaryen-(maester-aemon),alliser-thorne,7,0.14285714285714285
aemon-targaryen-(maester-aemon),bowen-marsh,4,0.25
aemon-targaryen-(maester-aemon),chett,9,0.1111111111111111
aemon-targaryen-(maester-aemon),clydas,33,0.030303030303030304
aemon-targaryen-(maester-aemon),cotter-pyke,3,0.3333333333333333
aemon-targaryen-(maester-aemon),daeron-ii-targaryen,3,0.3333333333333333
aemon-targaryen-(maester-aemon),dareon,5,0.2
aemon-targaryen-(maester-aemon),denys-mallister,4,0.25
aemon-targaryen-(maester-aemon),donal-noye,11,0.09090909090909091
aemon-targaryen-(maester-aemon),eddison-tollett,3,0.3333333333333333
aemon-targaryen-(maester-aemon),gilly,20,0.05
aemon-targaryen-(maester-aemon),grenn,5,0.2
aemon-targaryen-(maester-aemon),hobb,3,0.3333333333333333
aemon-targaryen-(maester-aemon),janos-slynt,5,0.2
aemon-targaryen-(maester-aemon),jeor-mormont,25,0.04
aemon-targaryen-(maester-aemon),jon-snow,110,0.00909090909090909
aemon-targaryen-(maester-aemon),maekar-i-targaryen,3,0.3333333333333333
aemon-targaryen-(maester-aemon),mance-rayder,5,0.2
aemon-targaryen-(maester-aemon),owen,3,0.3333333333333333
aemon-targaryen-(maester-aemon),pypar,5,0.2
aemon-targaryen-(maester-aemon),robert-baratheon,5,0.2
aemon-targaryen-(maester-aemon),samwell-tarly,99,0.010101010101010102
aemon-targaryen-(maester-aemon),stannis-baratheon,12,0.08333333333333333
aemon-targaryen-(maester-aemon),wynton-stout,3,0.3333333333333333
aenys-frey,arya-stark,6,0.16666666666666666
aenys-frey,hosteen-frey,6,0.16666666666666666
